A,EF1%,EF1%max,Method,N,NEF1%,Target,a,n,path
40,7.5,30.0,Smina,1240,0.25,ACHE,3,12,/MLSF-protocol/Smina/ACHE-DEKOIS-Smina.csv
40,0.0,30.0,CNN-Score,1240,0.0,ACHE,0,12,/MLSF-protocol/CNN-Score/ACHE/ACHE-DEKOIS-CNN.csv
40,0.0,30.0,RF-Score-VS,1240,0.0,ACHE,0,12,/MLSF-protocol/RF-Score-VS/ACHE/ACHE-DEKOIS-RF.csv
40,10.0,30.0,IFP,1240,0.3333333333333333,ACHE,4,12,/MLSF-protocol/IFP/ACHE/ACHE-DEKOIS-IFP.csv
40,0.0,30.0,Smina,1240,0.0,HMGR,0,12,/MLSF-protocol/Smina/HMGR-DEKOIS-Smina.csv
40,10.0,30.0,CNN-Score,1240,0.3333333333333333,HMGR,4,12,/MLSF-protocol/CNN-Score/HMGR/HMGR-DEKOIS-CNN.csv
40,30.0,30.0,RF-Score-VS,1240,1.0,HMGR,12,12,/MLSF-protocol/RF-Score-VS/HMGR/HMGR-DEKOIS-RF.csv
40,25.0,30.0,IFP,1240,0.8333333333333334,HMGR,10,12,/MLSF-protocol/IFP/HMGR/HMGR-DEKOIS-IFP.csv
40,0.0,30.0,Smina,1240,0.0,PPARA,0,12,/MLSF-protocol/Smina/PPARA-DEKOIS-Smina.csv
40,5.0,30.0,CNN-Score,1240,0.16666666666666666,PPARA,2,12,/MLSF-protocol/CNN-Score/PPARA/PPARA-DEKOIS-CNN.csv
40,7.5,30.0,RF-Score-VS,1240,0.25,PPARA,3,12,/MLSF-protocol/RF-Score-VS/PPARA/PPARA-DEKOIS-RF.csv
40,0.0,30.0,IFP,1240,0.0,PPARA,0,12,/MLSF-protocol/IFP/PPARA/PPARA-DEKOIS-IFP.csv
