DataFile,HitList,ID,Method,Potency,Target
/MLSF-protocol/ACHE-DEKOIS-data.csv,results/Section_A/prediction_data/ACHE/ACHE-DEKOIS-Smina.csv,BDB50032163,Smina,9.02227639471115,ACHE
/MLSF-protocol/ACHE-DEKOIS-data.csv,results/Section_A/prediction_data/ACHE/ACHE-DEKOIS-Smina.csv,BDB50039729,Smina,8.23657200643706,ACHE
/MLSF-protocol/ACHE-DEKOIS-data.csv,results/Section_A/prediction_data/ACHE/ACHE-DEKOIS-Smina.csv,BDB50032161,Smina,9.31875876262441,ACHE
/MLSF-protocol/ACHE-DEKOIS-data.csv,results/Section_A/prediction_data/ACHE/ACHE-DEKOIS-IFP.csv,BDB50032161,IFP,9.31875876262441,ACHE
/MLSF-protocol/ACHE-DEKOIS-data.csv,results/Section_A/prediction_data/ACHE/ACHE-DEKOIS-IFP.csv,BDB50032163,IFP,9.02227639471115,ACHE
/MLSF-protocol/ACHE-DEKOIS-data.csv,results/Section_A/prediction_data/ACHE/ACHE-DEKOIS-IFP.csv,BDB50039729,IFP,8.23657200643706,ACHE
/MLSF-protocol/ACHE-DEKOIS-data.csv,results/Section_A/prediction_data/ACHE/ACHE-DEKOIS-IFP.csv,BDB50008579,IFP,8.27572413039921,ACHE
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-CNN.csv,BDB50013217,CNN-Score,10.7447274948967,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-CNN.csv,BDB50215673,CNN-Score,8.52287874528034,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-CNN.csv,BDB50215686,CNN-Score,8.65757731917779,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-CNN.csv,BDB50215699,CNN-Score,9.15490195998574,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-RF.csv,BDB50215672,RF-Score-VS,8.72124639904717,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-RF.csv,BDB50215692,RF-Score-VS,9.69897000433602,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-RF.csv,BDB50215685,RF-Score-VS,8.46852108295774,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-RF.csv,BDB50215694,RF-Score-VS,8.92081875395237,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-RF.csv,BDB50215684,RF-Score-VS,9.096910013008053,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-RF.csv,BDB50215667,RF-Score-VS,8.455931955649719,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-RF.csv,BDB50215673,RF-Score-VS,8.52287874528034,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-RF.csv,BDB50215666,RF-Score-VS,8.74472749489669,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-RF.csv,BDB50215704,RF-Score-VS,9.22184874961636,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-RF.csv,BDB50215699,RF-Score-VS,9.15490195998574,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-RF.csv,BDB50215683,RF-Score-VS,8.85387196432176,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-RF.csv,BDB50215700,RF-Score-VS,9.39794000867204,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-IFP.csv,BDB50013219,IFP,9.97469413473523,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-IFP.csv,BDB50215685,IFP,8.46852108295774,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-IFP.csv,BDB50279858,IFP,8.52287874528034,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-IFP.csv,BDB50013217,IFP,10.7447274948967,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-IFP.csv,BDB50013216,IFP,11.698970004336,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-IFP.csv,BDB50013212,IFP,10.301029995664,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-IFP.csv,BDB50215708,IFP,9.096910013008053,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-IFP.csv,BDB50013221,IFP,9.56863623584101,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-IFP.csv,BDB50215692,IFP,9.69897000433602,HMGR
/MLSF-protocol/HMGR-DEKOIS-data.csv,results/Section_A/prediction_data/HMGR/HMGR-DEKOIS-IFP.csv,BDB50215672,IFP,8.72124639904717,HMGR
/MLSF-protocol/PPARA-DEKOIS-data.csv,results/Section_A/prediction_data/PPARA/PPARA-DEKOIS-CNN.csv,BDB50278067,CNN-Score,7.55284196865778,PPARA
/MLSF-protocol/PPARA-DEKOIS-data.csv,results/Section_A/prediction_data/PPARA/PPARA-DEKOIS-CNN.csv,BDB50179824,CNN-Score,8.52287874528034,PPARA
/MLSF-protocol/PPARA-DEKOIS-data.csv,results/Section_A/prediction_data/PPARA/PPARA-DEKOIS-RF.csv,BDB50212712,RF-Score-VS,6.172630726946171,PPARA
/MLSF-protocol/PPARA-DEKOIS-data.csv,results/Section_A/prediction_data/PPARA/PPARA-DEKOIS-RF.csv,BDB50179824,RF-Score-VS,8.52287874528034,PPARA
/MLSF-protocol/PPARA-DEKOIS-data.csv,results/Section_A/prediction_data/PPARA/PPARA-DEKOIS-RF.csv,BDB50172003,RF-Score-VS,8.52287874528034,PPARA
