Target,Method,ID,Morgan_Tc
ACHE,Smina,BDB50032163,0.3466666666666667
ACHE,Smina,BDB50039729,0.34328358208955223
ACHE,Smina,BDB50032161,0.34210526315789475
ACHE,IFP,BDB50032161,0.34210526315789475
ACHE,IFP,BDB50032163,0.3466666666666667
ACHE,IFP,BDB50039729,0.34328358208955223
ACHE,IFP,BDB50008579,0.4791666666666667
HMGR,CNN-Score,BDB50013217,0.32941176470588235
HMGR,CNN-Score,BDB50215673,0.2553191489361702
HMGR,CNN-Score,BDB50215686,0.25773195876288657
HMGR,CNN-Score,BDB50215699,0.24742268041237114
HMGR,RF-Score-VS,BDB50215672,0.25263157894736843
HMGR,RF-Score-VS,BDB50215692,0.25
HMGR,RF-Score-VS,BDB50215685,0.24752475247524752
HMGR,RF-Score-VS,BDB50215694,0.25252525252525254
HMGR,RF-Score-VS,BDB50215684,0.25510204081632654
HMGR,RF-Score-VS,BDB50215667,0.30526315789473685
HMGR,RF-Score-VS,BDB50215673,0.2553191489361702
HMGR,RF-Score-VS,BDB50215666,0.26373626373626374
HMGR,RF-Score-VS,BDB50215704,0.24752475247524752
HMGR,RF-Score-VS,BDB50215699,0.24742268041237114
HMGR,RF-Score-VS,BDB50215683,0.24242424242424243
HMGR,RF-Score-VS,BDB50215700,0.25
HMGR,IFP,BDB50013219,0.2857142857142857
HMGR,IFP,BDB50215685,0.24752475247524752
HMGR,IFP,BDB50279858,0.2875
HMGR,IFP,BDB50013217,0.32941176470588235
HMGR,IFP,BDB50013216,0.2976190476190476
HMGR,IFP,BDB50013212,0.25555555555555554
HMGR,IFP,BDB50215708,0.25252525252525254
HMGR,IFP,BDB50013221,0.2891566265060241
HMGR,IFP,BDB50215692,0.25
HMGR,IFP,BDB50215672,0.25263157894736843
PPARA,CNN-Score,BDB50278067,0.2717391304347826
PPARA,CNN-Score,BDB50179824,0.275
PPARA,RF-Score-VS,BDB50212712,0.26506024096385544
PPARA,RF-Score-VS,BDB50179824,0.275
PPARA,RF-Score-VS,BDB50172003,0.2222222222222222
