Target,Method,ID,IFP_Tc
ACHE,Smina,BDB50032163,0.6
ACHE,Smina,BDB50039729,0.583333
ACHE,Smina,BDB50032161,0.666667
ACHE,IFP,BDB50032161,0.666667
ACHE,IFP,BDB50032163,0.6
ACHE,IFP,BDB50039729,0.583333
ACHE,IFP,BDB50008579,0.545455
HMGR,CNN-Score,BDB50013217,0.681818
HMGR,CNN-Score,BDB50215673,0.48
HMGR,CNN-Score,BDB50215686,0.52
HMGR,CNN-Score,BDB50215699,0.346154
HMGR,RF-Score-VS,BDB50215672,0.538462
HMGR,RF-Score-VS,BDB50215692,0.541667
HMGR,RF-Score-VS,BDB50215685,0.708333
HMGR,RF-Score-VS,BDB50215694,0.521739
HMGR,RF-Score-VS,BDB50215684,0.416667
HMGR,RF-Score-VS,BDB50215667,0.307692
HMGR,RF-Score-VS,BDB50215673,0.48
HMGR,RF-Score-VS,BDB50215666,0.37037
HMGR,RF-Score-VS,BDB50215704,0.36
HMGR,RF-Score-VS,BDB50215699,0.346154
HMGR,RF-Score-VS,BDB50215683,0.36
HMGR,RF-Score-VS,BDB50215700,0.384615
HMGR,IFP,BDB50013219,0.73913
HMGR,IFP,BDB50215685,0.708333
HMGR,IFP,BDB50279858,0.695652
HMGR,IFP,BDB50013217,0.681818
HMGR,IFP,BDB50013216,0.636364
HMGR,IFP,BDB50013212,0.583333
HMGR,IFP,BDB50215708,0.583333
HMGR,IFP,BDB50013221,0.565217
HMGR,IFP,BDB50215692,0.541667
HMGR,IFP,BDB50215672,0.538462
PPARA,CNN-Score,BDB50278067,0.451613
PPARA,CNN-Score,BDB50179824,0.655172
PPARA,RF-Score-VS,BDB50212712,0.53125
PPARA,RF-Score-VS,BDB50179824,0.655172
PPARA,RF-Score-VS,BDB50172003,0.387097
