id,smiles,exactmass,rotatablebondcount,logp,formalcharge,acceptorcount,donorcount,polarsurfacearea,error
CHEMBL3221010,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCCCCCCNC3=C4CCCCC4=NC5=CC=CC=C53)C,604.414112,17,10.21694,0,4,3,66.05,
CHEMBL3633863,O=C(/C=C/c1ccc[n+](Cc2ccc(Cl)c(Cl)c2)c1)c1cc2cc(Br)ccc2o1.[Cl-],520.935174,5,3.738,0,2,0,34.09,
CID_122195615,C1=CC(=C[N+](=C1)CC2=CC(=C(C=C2)Cl)Cl)C=CC(=O)C3=CC4=C(O3)C=CC(=C4)Br.[Cl-],520.935174,5,3.738,0,2,0,34.09,
CHEMBL108726,COc1cc2c(cc1OC)C(=O)[C@@H](CC1CCN(Cc3ccccc3)CC1)C2,379.214744,6,4.3611,0,4,0,38.77,
CHEMBL107316,COc1cc2c(cc1OC)C(=O)[C@H](CC1CCN(Cc3ccccc3)CC1)C2,379.214744,6,4.3611,0,4,0,38.77,
CHEMBL502,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,379.214744,6,4.3611,0,4,0,38.77,
CHEMBL538358,C[N+](C)(C)CCCCCCCCCC[N+]1=C(C=C(C2=C1C3=C(C=CC(=C3)N)C=C2)N)C4=CC=CC=C4.[Cl-].[Cl-],554.294303,12,0.9469,0,2,2,55.92,
CHEMBL108872,C1CCC2=C(C3=C(C=CC=C3Cl)N=C2CC1)NCC4=CC=CS4,342.095747,3,5.8307,0,3,1,24.92,
CHEMBL393621,CC(C)C1=N[C@H]2CC=C3CC4C(=O)C[C@]5(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]5(C)[C@@H]4CC[C@H]3[C@]2(C)CO1,484.366493,3,5.1249,0,5,1,62.13,
CID_44435348,CC(C)C1=NC2CC=C3CC4C(CCC3C2(CO1)C)C5(CC(C(C5(CC4=O)C)C(C)N(C)C)O)C,484.366493,3,5.1249,0,5,1,62.13,
CID_23645166,COC1=C2C3=C(CN(CCC34C=CC(CC4O2)O)CCCCCCN5C(=O)C6=CC=CC=C6C5=O)C=C1,502.246772,8,4.0771,0,6,1,79.31,
CHEMBL278020,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C,223.144104,2,1.9437,1,2,0,29.54,
CHEMBL3221278,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCC(=O)NCCCCCCNC3=C4CCCCC4=NC5=CC=CC=C53)C,577.341676,13,6.99254,0,5,4,95.15,
CHEMBL659,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,287.152144,1,1.8503,0,4,1,41.93,
CID_9651,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,287.152144,1,1.8503,0,4,1,41.93,
CHEMBL4639503,C#CCSC[C@@H](N)C(=O)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,430.15941,9,3.3789,0,5,3,80.04,
CID_156013124,C#CCSCC(C(=O)NCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl)N,430.15941,9,3.3789,0,5,3,80.04,
CHEMBL3221568,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCC(=O)NCCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,653.349653,16,8.81624,0,5,4,95.15,
CHEMBL52722,C1CC(=O)N(C1=O)C2=CC=CC(=C2)C(=O)O,219.053158,2,1.0382,0,3,1,74.68,
CHEMBL3221292,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCC(=O)NCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,625.318353,14,8.03604,0,5,4,95.15,
