id,smiles,exactmass,rotatablebondcount,logp,formalcharge,acceptorcount,donorcount,polarsurfacearea,error
DECOY1,C=CCN(CCCC)Cc1ccc(C=C(Nc2ccc(C)cc2)C(=O)Nc2ccc(Cc3c[nH]c4ccc(C)cc34)cc2)cc1,596.351512,14,9.25534,0,3,3,60.16,
DECOY2,CCC(C)(NC(=O)Nc1ccc(C(C)C)cc1)c1c(C)c(C)c(C)c2c1CN(Cc1cc(CNC)c3ccc(C)cc3c1)CC2,604.414112,9,8.92148,0,3,3,56.4,
DECOY3,C=CC(=CC)c1ccc(Nc2cccc(C(NC(C)CCC(C)(C)c3cccc(C#N)c3)C(=O)Nc3cccc(C)c3)c2)cc1,596.351512,13,9.6155,0,4,3,76.95,
DECOY4,Cc1ccccc1NC(=Nc1ccccc1)c1ccc(C)c(C(CC(C)(C)c2ccccc2C)NC(=O)Nc2ccccc2)c1,594.335862,9,10.03296,0,2,3,65.52,
DECOY5,CCN(Cc1cccc(-c2cccc(-c3ccc(CC4CCCCC4)cc3)c2)c1)C(CC(C)C)C(=O)NNc1cccc(C)n1,602.398462,13,9.22672,0,4,2,57.26,
DECOY6,CNc1[nH]c2ccccc2c1CC(=O)N(CCCNCc1cc(C)c2ccccc2c1C)c1c(C)c(C)c(C)c(C)c1C,574.367162,10,8.27734,0,3,3,60.16,
DECOY7,CCCC1=C(C)c2ccccc2C(Cc2cccc(NCc3ccccc3C)c2)N1C(=O)Nc1ccc(NC(C)C)c(C)c1,586.367162,10,10.09844,0,3,3,56.4,
DECOY8,CCC(C)c1ccc(CC(Nc2cccc(N(CC)CCc3ccccc3)c2)C(=O)Nc2cccc(-c3ccccn3)c2)cc1,596.351512,14,8.993,0,4,2,57.26,
DECOY9,CCc1ccc(CC=Cc2ccccc2N2C(=O)NC(=N)NC2(C)c2ccccc2-c2ccc(CC)c(C(C)C)c2)cc1,570.335862,9,8.78457,0,2,3,68.22,
DECOY10,CC=Cc1cccc(C)c1NC(=O)CN1CCN(Cc2c(C)[nH]c(C)c2-c2ccc(Cc3cccc(C#CCC)c3)cc2)CC1,598.367162,9,7.74866,0,3,2,51.37,
DECOY11,CC(C)(C)c1cc(CN(Cc2ccc(O)cc2)C(Cc2ccc(N3CCc4ccccc4C3)nc2)c2ccccc2)ccc1N,596.351512,9,8.2158,0,5,2,65.62,
DECOY12,CCCc1ccc(NCc2cc(Cc3ccccc3)cc(OC)c2)nc1NCC(c1ccc(C#N)cc1)c1ccc(CC)cc1,594.335862,14,8.92368,0,5,2,69.97,
DECOY13,Cc1ccc(NCc2ccc(C)c(NC(=O)Nc3cc(C)ccc3C3(c4ccccc4)CCCN(c4ccccc4)C3)c2)cc1,594.335862,8,9.45446,0,3,3,56.4,
DECOY14,CC(=Cc1ccc(C)c(C)c1)c1cc2cc(C(NC3=C(C)CCCC3)Nc3cccnc3C)c(=O)[nH]c2cc1-c1ccccc1,594.335862,8,9.62416,0,4,3,69.81,
DECOY15,CCC(CCCCCCc1ccnc(C(C)(C)C)c1)(c1ccccc1)N(Cc1ccc(C)cc1)C(=O)Nc1cc(N)ccc1C,604.414112,13,10.11094,0,3,2,71.25,
DECOY16,CCc1ccc(C(=O)NCCc2cccc(-c3cccc(-c4ccc(C)c(C)c4)n3)c2)cc1-c1cccc(CC(C)NCN)c1,596.351512,12,7.67114,0,4,3,80.04,
DECOY17,C=CCOc1cc(C)c(NCC(=C(C)NC(C)CNC)c2[nH]c(CCC)c3c2CC=C(C)C3)cc1-c1ccc2c(c1)CCCC2,606.429762,14,8.47172,0,4,4,61.11,
DECOY18,C=CCc1cccc(C=CC(C)NC(=O)NCC(Cc2ccccc2)(NCc2ccc(C#N)cc2)c2ccc(C)c(C)c2)c1,582.335862,13,7.53252,0,3,3,76.95,
DECOY19,CCC(C)Nc1ccc(-c2ccc(N(Cc3ccccc3C#N)c3ccccc3C(=O)NC(C)c3cccc(C)c3)cc2)cc1,592.320212,11,9.5734,0,4,2,68.16,
DECOY20,CCc1cc(Cc2cccc(C(C)NC3CC3)c2)ccc1N1CCCc2cc(C(C)NC(=O)NC(C)c3ccccc3)ccc21,600.382812,11,8.8585,0,3,3,56.4,
DECOY21,C=CC(=CC)C=C(NC1(CC)C(c2cccc(C)c2)=CC(OCC)=C(c2ccc(C)cc2)CN1Cc1c[nH]cn1)C(C=C)=CC,600.382812,13,9.21794,0,4,2,53.18,
DECOY22,CCNc1ccccc1CNc1cccc(CCNC(=O)c2cccc(C3Cc4ccccc4CN3Cc3ccccc3)c2)c1,594.335862,12,8.0026,0,4,3,56.4,
DECOY23,Cc1ccc(-c2c[nH]cc2C(NC(=O)N(CCc2ccc(CC#N)cc2)C2CCc3cc(C)c(C)cc3C2)C(C)(C)C)cc1,586.367162,8,8.57204,0,2,2,71.92,
DECOY24,Cc1ccc(-c2ccc(C3(C)C(=O)NCCN3CNc3ccc4[nH]c(C)c(-c5ccccc5)c4c3)cc2)cc1CCC(C)(C)C,598.367162,8,8.81404,0,3,3,60.16,
DECOY25,Cc1ccccc1C(NC(=O)CCNCCNc1cccc(-c2ccc(C#N)cc2)c1)c1cccc2c1-c1ccccc1CC2,590.304562,11,7.5967,0,4,3,76.95,
DECOY26,Cc1cccc(NC(=NCc2ccc(N)cc2)NC(C)CCOc2ccc3cc4c(cc3c2C)CCCC4)c1-c1ccccc1,596.351512,9,8.99994,0,3,3,71.67,
DECOY27,CCCc1c(C)cccc1N(CCc1ccccc1)C(=O)C(=Cc1ccc2c(c1)C(C)C(C#N)N2)Nc1ccccc1C(C)C,596.351512,11,9.221,0,4,2,68.16,
DECOY28,Cc1ccc(CC(=O)N(Cc2c[nH]nc2-c2ccc(C)cc2)C(C)(C)c2ccccc2CNc2cccc3ccccc23)cc1,592.320212,10,8.96544,0,3,2,61.02,
DECOY29,Cc1ccc(CN(CCNc2ccccc2CNc2cc(C)c3cccc(C(C)(C)C)c3n2)C(=O)C=Cc2ccccc2)cc1,596.351512,11,8.91534,0,4,2,57.26,
DECOY30,CCCCc1cccc2c(-c3ccccc3NCCc3ccccc3)ccc(CN3C(=O)NCC3Nc3c(C)cccc3C)c12,596.351512,12,9.08424,0,3,3,56.4,
DECOY31,CCN1CCCc2cc(NC(=O)c3nc(CCCc4ccccc4)ccc3-c3cccc(NCC4CC4C(C)(C)C)c3)ccc21,600.382812,11,9.0428,0,4,2,57.26,
DECOY32,CC(C)CC1=C(C(=O)Nc2ccccc2)C(c2ccc3c(c2)=CCN=3)N(CCc2ccccc2)C1Nc1cccc(C(C)C)c1,596.351512,11,7.2427,0,4,2,56.73,
DECOY33,Cc1ccc(NC(Nc2ccnc(C)c2)c2cccc(-c3ccc(N4CC(C)CCC4=O)c(C(C)c4ccccc4)c3)c2)cc1,594.335862,9,9.50294,0,4,2,57.26,
DECOY34,CC=C(C)C=C1C=Nc2c(CCC)cc(NC(=O)c3ccccc3)cc2CNc2ccc(C)cc2C=C=C(C)C1=C(C)NCC,598.367162,7,9.86232,0,4,3,65.52,
DECOY35,CNc1cc(NC2=Nc3ccccc3C(C)(C(=O)NCCc3cccc(C)c3)Cc3ccccc3CCC(C)(C)C2)ccc1C,600.382812,6,8.70904,0,4,3,65.52,
DECOY36,CCNC(=O)c1cc(C)cc(N=Cc2c(C)[nH]c3c(C)cc(C)c4c(C)c(C)cc2c34)c1-c1ccc2c(c1)CC(=CCC#N)C2,592.320212,6,9.29628,0,4,2,77.28,
DECOY37,Cc1cc(CCNC(=O)c2cc3n[nH]cc3cc2NC2CCC2(C)C)ccc1-c1ccc(-c2ccc3c(c2)C(C)(C)CC3)cc1,596.351512,8,9.00212,0,3,3,69.81,
DECOY38,C=CC1=CCCCC=C1C1=C(C)N=C(NCCC)C1Nc1cc(C)c(Cc2cccc(C)c2)cc1C(=O)N1CCCC(C)(C)C1,604.414112,9,8.84534,0,4,2,56.73,
DECOY39,CCCC(CN1CNc2c(C)cc(CN3CCNC(Cc4ccccc4)c4ccc(C)cc43)cc2C1=O)c1cccc(CC)c1,600.382812,10,8.16854,0,4,2,47.61,
DECOY40,CNCC1C=C(C)C(CCCCc2ccc(COc3ccc(-c4nc5ccccc5[nH]4)cc3)cc2)=C2C(C=C(C)C)CCNC21,600.382812,12,8.5581,0,4,3,61.97,
DECOY41,CCCC(CNCc1cccc(NCCc2cccnc2)c1)(c1ccccc1C)N(C(=O)C(CC)c1ccccc1)C(C)CC,604.414112,17,8.65072,0,4,2,57.26,
DECOY42,CCC1(NC(C)c2ccc(-c3ccc(-c4ccccc4CN(C)C(=O)Nc4ccc5ccccc5c4)cc3)cc2)CCCCN1,596.351512,9,9.3681,0,3,3,56.4,
DECOY43,CCc1cc(C)c2ccc(C)c3[nH]c(NC(CC)C(=O)N(c4cccc(-c5ccc(C)cc5)c4)C4CC=CCC4)c(C#N)c1c23,594.335862,8,9.12224,0,4,2,68.16,
DECOY44,Cc1ccc(-c2cccc(CN3CCC(Nc4ccc5c(C)cccc5c4)C(C)C3)c2)nc1Nc1cccc(C=O)c1,554.304562,8,8.39724,0,5,2,57.26,
DECOY45,CCC=CC1=C(C(=O)NC2CC(C)CC2=C(C=Cc2ccccc2)c2c(C)[nH]c3ccccc23)C(=C(C)CN(C)CC)NCC1,602.398462,10,8.33982,0,3,3,60.16,
DECOY46,CC(C)c1[nH]nc(C(C)(C)C)c1CCc1ccc(-c2cccc3ccc(C(=O)N4C=CNCC#CCCCCCC4)cc23)cc1,600.382812,6,8.9065,0,3,2,61.02,
DECOY47,C=NC(=CC)NC1(C(=O)NCc2c(-c3ccc4cc(C)c(C)cc4c3)cc(C3CC3)nc2-c2ccccc2C)CCCC(C)C1,598.367162,9,9.08806,0,4,2,66.38,
DECOY48,Cc1ccccc1-c1cccc(-c2ccc3cccc(CC(C)NC(=O)C4CN(CCNC5CCCC(C)(C)C5)C4)c3c2)c1,587.387563,10,8.01962,0,3,2,44.37,
DECOY49,CCC=C1CCCCN(CC(C)Cc2ccccc2)C(=O)Nc2ccccc2C(C)(Nc2cccc(C)c2)Nc2ccccc21,600.382812,7,10.08192,0,3,3,56.4,
DECOY50,C#Cc1ccc(C=C(C#N)C=C(C)C(NC(=O)C(CC)(Nc2ccnc(C(C)C)c2)c2ccccc2C)=C2C=CCC=C2)cc1,592.320212,10,8.652,0,4,2,77.81,
DECOY51,CCc1ccc(OCc2cc(C=O)cc(-c3ccc(Cl)cc3)[nH+]2)c(CBr)c1CCl,492.012723,8,6.4087,1,2,0,40.44,
DECOY52,CCOc1c(C(CBr)=[NH+]c2cccc(-c3ccco3)c2Cl)ccc(C(C)Cl)c1C,494.028373,7,6.20322,1,2,1,36.34,
