id,smiles,exactmass,rotatablebondcount,logp,formalcharge,acceptorcount,donorcount,polarsurfacearea,error
CHEMBL325766,CC1=C(C(=C2C(=N1)C=CC=C2F)N)CSCC3=CC(=CC=C3)C(C(F)(F)F)O,410.107597,5,5.29362,0,4,2,59.14,
CHEMBL541350,C1CN(CC2=CC=CC=C21)CCCCNC3=NN=C(C=C3)C4=CC=CC=C4.Cl,394.192425,7,4.8158,0,4,1,41.05,
CID_638276,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2O,224.08373,3,3.2883,0,2,1,37.3,
CHEMBL537388,C1CN(CC2=CC=CC=C21)CCCNC3=NN=C(C=C3)C4=CC=CC=C4.Cl,380.176774,6,4.4257,0,4,1,41.05,
CHEMBL422098,CC(=O)N[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)N(C)C)CC[C@@H]32)C1,388.345364,3,5.1001,0,2,1,32.34,
CID_44358179,CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)NC(=O)C)C)C)N(C)C,388.345364,3,5.1001,0,2,1,32.34,
CHEMBL3633860,O=C(/C=C/c1ccc[n+](Cc2ccccc2Br)c1)c1cc2cc(Br)ccc2o1.[Br-],574.873115,5,3.1937,0,2,0,34.09,
CID_122195609,C1=CC=C(C(=C1)C[N+]2=CC=CC(=C2)C=CC(=O)C3=CC4=C(O3)C=CC(=C4)Br)Br.[Br-],574.873115,5,3.1937,0,2,0,34.09,
CHEMBL3604339,COc1ccc2c3c1O[C@H]1C[C@H](O)C=C[C@@]31CCNC2,273.136493,1,1.5081,0,4,2,50.72,
CID_443721,COC1=C2C3=C(CNCCC34C=CC(CC4O2)O)C=C1,273.136493,1,1.5081,0,4,2,50.72,
CHEMBL462795,C=C(C)[C@@H]1CC[C@@]2(C)[C@H]1[C@H]1CC[C@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)C[C@@H]2O,442.381081,1,6.9956,0,2,2,40.46,
CID_118705537,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)C)O)C)C,442.381081,1,6.9956,0,2,2,40.46,
CHEMBL4169820,CC1=CC(=CC=C1)C[N+]2=CC=CC(=C2)CN3C4=C(CCCC4)C5=CC=CC=C53.[Cl-],402.186277,4,2.21662,0,1,0,8.81,
CID_5371128,C1=CC=C(C(=C1)C(=O)NN=CC2=CC(=CC=C2)O)O,256.084792,3,1.8617,0,4,3,81.92,
CHEMBL541613,C1CN(CC2=CC=CC=C21)CCNC3=NN=C(C=C3)C4=CC=CC=C4.Cl,366.161124,5,4.0356,0,4,1,41.05,
CHEMBL3309348,C[C@@H](CC[C@H]1C(CO)=CC[C@H]2C(C)(C)CCC[C@]12C)CC(=O)OCCCN1CCOCC1,449.350509,10,4.8295,0,5,1,59.0,
