id,smiles,exactmass,rotatablebondcount,logp,formalcharge,acceptorcount,donorcount,polarsurfacearea,error
CHEMBL1161649,CC(C)c1cc(-c2ccccc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,437.200237,9,5.1419,0,4,3,82.69,
CHEMBL2367478,CC(C)c1nn(-c2ccccc2)c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],460.17743,9,0.0709,0,6,2,98.41,
CHEMBL251499,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(-c2ccccc2)c1C(=O)NCc1ccc(C(=O)N(C)C)cc1.[Na+],665.287709,14,1.3624,0,7,3,134.93,
CHEMBL1161661,CC(C)c1cc(-c2ccncc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,438.195486,9,4.5369,0,5,3,95.58,
CHEMBL2367475,CC(C)c1nn(-c2ccc3ccccc3n2)c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],511.188329,9,0.6191,0,7,2,111.3,
CHEMBL54440,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,390.240624,6,3.9495,0,5,1,72.83,
CHEMBL3344536,CCC(=O)c1cc(OC)c(OC)cc1O,210.089209,4,2.0021,0,4,1,55.76,
CHEMBL1161662,CC(C)c1nc(-c2cccnc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,439.190735,9,3.9319,0,6,3,108.47,
CHEMBL399360,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(-c2ccc(F)cc2)c1C(=O)Nc1ccccc1.[Na+],598.225523,12,2.122,0,6,3,114.62,
CHEMBL5290557,CC(C)OP(=O)(OC(C)C)C(Cc1cc(C(C)(C)C)nc(C(C)(C)C)n1)P(=O)(OC(C)C)OC(C)C,548.314411,12,8.0264,0,8,0,96.84,
CHEMBL5271654,CCOP(=O)(OCC)C(Cc1cc(C(C)(C)C)nc(C(C)(C)C)c1)P(=O)(OCC)OCC,491.256561,12,7.0774,0,7,0,83.95,
CHEMBL488636,CC(C)c1c(C(=O)NCc2ccccc2)nc(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,497.232599,12,3.7193,0,6,4,124.68,
CHEMBL5282672,CC(C)OP(=O)(OC(C)C)C(Cc1cc(C(C)(C)C)nc(C(C)(C)COCc2ccccc2)c1)P(=O)(OC(C)C)OC(C)C,653.361026,17,9.8283,0,8,0,93.18,
CHEMBL1161643,Cc1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,428.154764,8,3.86102,0,5,3,95.58,
CHEMBL249884,CCNC(=O)c1c(-c2ccccc2)c(-c2ccc(F)cc2)c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])n1C(C)C.[Na+],532.234945,12,0.4803,0,6,3,114.62,
CHEMBL3344540,CCCC(=O)c1cc(OC)c(OCC(=O)OC)cc1O,282.110338,7,1.9354,0,6,1,82.06,
CHEMBL2368188,CC(C)c1nc(-c2ccccc2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,432.184921,5,5.1528,0,5,1,72.31,
CHEMBL348798,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C(C)C.[Na+],427.213481,10,0.187,0,5,2,85.52,
CHEMBL5266129,CC(C)OP(=O)(OC(C)C)C(Cc1cc(C2CCCCC2)nc(C(C)(C)C)c1)P(=O)(OC(C)C)OC(C)C,573.334812,13,9.3816,0,7,0,83.95,
CHEMBL1496,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,481.168285,10,2.4017,0,7,3,140.92,
CHEMBL389443,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3n(Cc3ccc(F)cc3)c(=O)c21.[Na+],610.225523,11,1.7191,0,7,2,107.52,
CHEMBL101497,CC(C)c1c(OCC(O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)nc2ccccc12.[Na+],449.161445,9,-0.201,0,6,2,102.71,
CHEMBL389217,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3n(-c3ccc(F)cc3)c(=O)c21.[Na+],596.209873,10,1.66,0,7,2,107.52,
CHEMBL159951,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C1CCCCC1.[Na+],467.244781,10,1.1113,0,5,2,85.52,
CHEMBL2368205,Cc1ccc(C)c(-c2cc(-c3ccc(F)cc3)c(/C=C/[C@@H]3C[C@@H](O)CC(=O)O3)c(C(C)C)n2)c1,459.220972,5,6.37464,0,4,1,59.42,
CHEMBL1161646,CC(C)c1cc(-c2ccc(F)cc2)c(-c2ccccc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,437.200237,9,5.1419,0,4,3,82.69,
CHEMBL3677707,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](OCc2ccccc2)CC(OC(C)(C)C)O1,611.282921,10,6.7207,0,7,0,90.85,
CHEMBL4756373,CC(C)OP(=O)(OC(C)C)C(Cc1cc(C(C)(C)C)nc(C(C)(C)C)c1)P(=O)(OC(C)C)OC(C)C,547.319162,12,8.6314,0,7,0,83.95,
