id,smiles,exactmass,rotatablebondcount,logp,formalcharge,acceptorcount,donorcount,polarsurfacearea,error
DECOY1,C=NC(=CCF)COc1cc(C)c(CCO)cc1OCc1ccc2ccc(OC)cc2c1,437.200237,11,5.20342,0,5,1,60.28,
DECOY2,C=C(F)c1cccc2c(C)cc(C(=O)OC(C)C(=O)NCc3cccc(CC)c3)c(O)c12,435.184587,7,5.21812,0,4,2,75.63,
DECOY3,C=CCOc1cc(C(=O)Nc2ccc(C)c(C)c2CF)c(C(O)C2CCCCC2)cc1O,441.231537,8,5.90934,0,4,3,78.79,
DECOY4,CCC1(c2cc3[nH]c(C)c(CC(O)c4ccc(OC)c(OC)c4O)c3cc2F)CCCC1,441.231537,7,5.83612,0,4,3,74.71,
DECOY5,C=CC(=C)CC(c1ccc(C)o1)c1ccccc1CNC(=O)Oc1ccc(CO)cc1F,435.184587,9,5.77222,0,4,2,71.7,
DECOY6,CCC(CF)CCc1cc(OC(C=O)c2ccc3c(c2)CCC3C)ccc1NC(=O)CO,441.231537,11,4.9144,0,4,2,75.63,
DECOY7,CCc1ccc(C(=O)COC(=O)CC(Cc2cccc3cc(C)ccc23)C(N)=O)cc1F,435.184587,9,4.30992,0,4,1,86.46,
DECOY8,CCCC(CF)c1ccc(Oc2ccc(C(=O)Nc3ccccc3C)c(O)c2)cc1OC,437.200237,9,6.60702,0,4,2,67.79,
DECOY9,C=CC(=CC)Cc1ccc(C)c(NC(=O)C(O)(CF)COCc2ccccc2OC)c1C,441.231537,11,4.84274,0,4,2,67.79,
DECOY10,C=C(F)C=C(OC1CCC1)c1ccc(Oc2cccc(C(=O)NC3CCOC3)c2)cc1C,437.200237,8,5.69922,0,4,1,56.79,
DECOY11,C=CC1=C(CF)CC(CC)CC1OC(=O)c1ccc(C(=O)Nc2ccccc2OC)cc1,437.200237,8,5.745,0,4,1,64.63,
DECOY12,Cc1cc(CCCC(=O)Nc2ccc(Oc3cc4c(cc3F)OC(C)C4)cc2)ccc1O,435.184587,7,5.91682,0,4,2,67.79,
DECOY13,Cc1ccc(NC2CCCC2CO)c(C(=O)OCC(C)(C)OCCc2ccccc2F)c1,443.247187,10,4.90172,0,5,2,67.79,
DECOY14,CCCc1ccccc1OCC(=O)NC1CCCC1(Cc1ccccc1)C(=O)OCCF,441.231537,11,4.4284,0,4,1,64.63,
DECOY15,COc1ccc(C(=O)Nc2c(C)cc(C)cc2C)cc1COc1ccc(C(C)O)cc1,419.209658,7,5.50506,0,4,2,67.79,
DECOY16,C=CC1=C(F)CCCN1C(=O)Cc1ccc(C(C)(O)C(O)c2ccc(COC)cc2)cc1,439.215887,8,4.3061,0,4,2,70.0,
DECOY17,Cc1cc(F)c(OC(=O)c2cccc(C(O)C3(C)CCCO3)c2)c(C2CCCCCN2)c1,441.231537,5,5.16052,0,5,2,67.79,
DECOY18,C=Cc1c(CF)ccc(C)c1NC(=O)C(C)(C)Cc1cccc(OC2CCOCC2O)c1,441.231537,8,4.84352,0,4,2,67.79,
