id,smiles,exactmass,rotatablebondcount,logp,formalcharge,acceptorcount,donorcount,polarsurfacearea,error
CHEMBL606359,COc1ccc2nc(C3CC3)c(/C=C/[C@@H]3C[C@@H](O)CC(=O)O3)c(Sc3ccc(F)cc3)c2c1,465.141007,6,5.4908,0,6,1,68.65,
CHEMBL2111271,Cc1cc(-c2ccc(F)cc2)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(C)n1,341.142722,3,3.58424,0,4,1,59.42,
CHEMBL448462,CCCCCCCCC#CC#CC(O)CCCCC(=O)O,292.203845,11,3.7497,0,2,2,57.53,
CHEMBL101600,CCC(C)(C)C(=O)NC(c1cc(C)cc(C)c1OCC(O)C[C@@H](O)CC(=O)[O-])C1CCCCC1.[Na+],499.290982,12,0.11194,0,6,3,118.92,
CHEMBL5266489,CC(C)OP(=O)(OC(C)C)C(Cc1cc(C(C)(C)C)nc2ccccc12)P(=O)(OC(C)C)OC(C)C,541.272211,12,8.4871,0,7,0,83.95,
CHEMBL133834,CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C(C)O)C3=CCC4C(C)(C)[C@@H](O)CC[C@]4(C)C3CC[C@]12C,458.412381,6,7.7758,0,2,2,40.46,
CHEMBL482601,CCCCCCCCC#C/C=C\CCCCCC(=O)O,278.22458,12,5.3317,0,1,1,37.3,
CHEMBL482803,CCCCCCCCC#C/C=C/CCCCCC(=O)O,278.22458,12,5.3317,0,1,1,37.3,
CHEMBL321713,O=C([O-])C[C@H](O)CC(O)COc1c(Cl)cc(Cl)cc1C(F)(F)C1CCCCC1.[Na+],462.07883,9,0.3002,0,5,2,89.82,
CHEMBL594578,COc1ccc2nc(C3CC3)c(/C=C/[C@@H]3C[C@@H](O)CC(=O)O3)c(Sc3ccc(C(C)C)cc3)c2c1,489.197379,7,6.4751,0,6,1,68.65,
CHEMBL146964,CCC[C@@H]1CCC[C@H](/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]1COC(=O)C(C)(C)CC,412.282489,12,3.9412,0,5,3,104.06,
