id,smiles,exactmass,rotatablebondcount,logp,formalcharge,acceptorcount,donorcount,polarsurfacearea,error
CHEMBL513749,C=C(CSc1ccc(C(F)(F)F)cc1)CSc1ccc(OCC(=O)O)c(C)c1,428.072771,9,5.91782,0,4,1,46.53,
CID_155547646,CC1=CC(=CC2=C1OC(CC2)(C)CCC=C(C)CCC=C(C)C(=O)O)OC,372.23006,8,5.62492,0,3,1,55.76,
CHEMBL4535730,COc1cc(C)c2c(c1)CC[C@@](C)(CC/C=C(\C)CC/C=C(\C)C(=O)O)O2,372.23006,8,5.62492,0,3,1,55.76,
CHEMBL5416466,CC1=CC=C(C=C1)N2CC(=O)N(C2=O)CC3=CC(=C(C(=C3)C)OC(C)(C)C(=O)O)C,410.184172,6,3.82266,0,4,1,87.15,
CHEMBL322690,CC(C)(C(=O)O)OC1=CC=CC(=C1)CCCN(C2=CC=CC(=C2C3CC3)C4=NOC=N4)C(=O)COC5=CC(=C(C=C5)Cl)Cl,623.158991,13,7.2076,0,7,1,114.99,
CHEMBL255930,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@@H]2CN(c3nccc(C(F)(F)F)n3)C[C@@H]2C(=O)O)cc1,552.19844,9,5.46002,0,7,1,101.58,
CID_10347566,CC1=C(N=C(O1)C2=CC=CC=C2)CCOC3=CC=C(C=C3)CC4CN(CC4C(=O)O)C5=NC=CC(=N5)C(F)(F)F,552.19844,9,5.46002,0,7,1,101.58,
CHEMBL248411,Cc1ccc(-c2nc(CCOc3ccc4c(c3)CC[C@H]4CC(=O)O)c(C)s2)cc1,407.155515,7,5.55294,0,4,1,59.42,
CID_44442452,CC1=CC=C(C=C1)C2=NC(=C(S2)C)CCOC3=CC4=C(C=C3)C(CC4)CC(=O)O,407.155515,7,5.55294,0,4,1,59.42,
CHEMBL2204598,CC1=C(N=C(O1)C2=CC=CC=C2)CN(CC3=CC(=C(C=C3)OC(C)(C)C(=O)O)Cl)CC4=CC=CO4,494.16085,10,6.34082,0,6,1,88.94,
CHEMBL206202,CC[C@@](C)(Cc1ccc(OCCCOc2ccc(CC(F)(F)F)cc2Cl)cc1)C(=O)O,458.147172,11,6.3361,0,3,1,55.76,
CID_44409279,CCC(C)(CC1=CC=C(C=C1)OCCCOC2=C(C=C(C=C2)CC(F)(F)F)Cl)C(=O)O,458.147172,11,6.3361,0,3,1,55.76,
CHEMBL4101577,CC(=O)NC(C)c1nc(-c2ccc(OCC=C(c3ccc(Br)cc3)c3ccc(Br)cc3)cc2)no1,595.010616,8,6.9694,0,5,1,77.25,
CHEMBL247111,CCO[C@@H](Cc1ccc(OC/C=C/c2cc(/C=C/c3ccccc3)cc(/C=C/c3ccccc3)c2)cc1)C(=O)O,530.24571,13,8.1518,0,3,1,55.76,
CID_44441223,CCOC(CC1=CC=C(C=C1)OCC=CC2=CC(=CC(=C2)C=CC3=CC=CC=C3)C=CC4=CC=CC=C4)C(=O)O,530.24571,13,8.1518,0,3,1,55.76,
CHEMBL485155,CCCCCCC[C@H]1C(=O)C=C(I)[C@@H]1OCCCCCC(=O)O,436.111057,13,4.8949,0,3,1,63.6,
CID_15984029,CCCCCCCC1C(C(=CC1=O)I)OCCCCCC(=O)O,436.111057,13,4.8949,0,3,1,63.6,
CHEMBL218784,CC(C)(C(=O)O)OC1=CC=C(C=C1)CNC(=O)C2=CN=C(S2)C3=CC=CC=C3,396.114378,7,3.9821,0,5,2,88.52,
CHEMBL3707395,CSc1ccc(C(=O)/C=C/c2cc(C)c(OC(C)(C)C(=O)O)c(C)c2)cc1,384.13953,7,5.16344,0,4,1,63.6,
CID_9864881,CC1=CC(=CC(=C1OC(C)(C)C(=O)O)C)C=CC(=O)C2=CC=C(C=C2)SC,384.13953,7,5.16344,0,4,1,63.6,
CHEMBL5432415,CC1=CC(=CC(=C1OC(C)(C)C(=O)O)C)CN2C(=O)CN(C2=O)C3=CC=CC(=C3)C(F)(F)F,464.155906,6,4.53304,0,4,1,87.15,
CHEMBL249865,CCN(C(=O)Nc1ccc(OC(F)(F)F)cc1)[C@@H]1Cc2ccc(SC(C)(C)C(=O)O)cc2C1,482.148713,7,5.5617,0,4,2,78.87,
CID_11260214,CCN(C1CC2=C(C1)C=C(C=C2)SC(C)(C)C(=O)O)C(=O)NC3=CC=C(C=C3)OC(F)(F)F,482.148713,7,5.5617,0,4,2,78.87,
CHEMBL1927473,CC1=C(C=CC(=C1)SCC2=C(N=C(S2)C3=CC=C(C=C3)C(F)(F)F)C)OC(C(=O)O)F,471.058598,7,6.49704,0,5,1,59.42,
CID_46229871,CC1=C(C=C(C=C1)C(=NOCCCCON=C(CCC(=O)O)C2=CC=CC=C2)C)C,410.220557,12,5.10994,0,5,1,80.48,
