id,smiles,exactmass,rotatablebondcount,logp,formalcharge,acceptorcount,donorcount,polarsurfacearea,error
CHEMBL1079739,COc1ccc(-c2nc(COc3ccc(OCC(=O)O)c(C)c3)sc2/C=C/c2ccccc2)cc1,487.145344,10,6.33992,0,6,1,77.88,
CID_44628048,CC1=C(C=CC(=C1)OCC2=NC(=C(S2)C=CC3=CC=CC=C3)C4=CC=C(C=C4)OC)OCC(=O)O,487.145344,10,6.33992,0,6,1,77.88,
CHEMBL1079965,CC1=C(C=CC(=C1)OCC2=NC(=C(S2)C3=CC=C(C=C3)OC(F)(F)F)C4=CC5=C(C=C4)OCCO5)OCC(=O)O,573.106908,9,6.49772,0,8,1,96.34,
CHEMBL381889,CC(C)(C)C1=CC=C(C=C1)N2C3=C(C=CC(=C3)OC(F)(F)F)C(=C2C(=O)O)OC4=CC=C(C=C4)Cl,503.11112,5,7.9705,0,4,1,60.69,
CHEMBL3398452,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@@H]2CN(c3nccc(C(F)(F)F)n3)C[C@H]2C(=O)O)cc1,552.19844,9,5.46002,0,7,1,101.58,
CHEMBL3398450,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@H]2CN(c3nccc(C(F)(F)F)n3)C[C@H]2C(=O)O)cc1,552.19844,9,5.46002,0,7,1,101.58,
CHEMBL1778829,CCCC1=C(N=C(O1)C2=CC=CC=C2)CCC3=NOC4=C3C=CC(=C4)OC(C)(C)C(=O)O,434.184172,9,5.4625,0,6,1,98.59,
CHEMBL3984358,COC1=C(C=C(C=C1)CCOC(=O)CC2=CC=C(C=C2)SCC3=CC=CC=C3C(=O)O)OC,466.14501,11,5.0227,0,6,1,82.06,
CHEMBL234168,C1=CC(=CC=C1C2=CC(=NO2)COC3=CC4=C(C=C3)C(=CO4)CC(=O)O)C(F)(F)F,417.082407,6,5.3127,0,5,1,85.7,
CHEMBL1087581,COC(=O)N(CC(=O)O)Cc1cccc(OCc2coc(-c3ccccc3)n2)c1,396.132136,8,3.5736,0,6,1,102.1,
CID_118719400,CCCCCCCCCCCCCCCCCC(=O)OC1CCC2(C3CCC4(C(C3=CC(C2(C1)O)O)CCC4C(C)C=CC(C)C(C)C)C)C,696.605661,21,12.3088,0,4,2,66.76,
CHEMBL1080368,CC1=C(C=CC(=C1)OCC2=NC(=C(O2)C3=CC=C(C=C3)OC(F)(F)F)C4=CC=C(C=C4)OC(C)C)OCC(=O)O,557.166137,11,7.04522,0,7,1,100.25,
CHEMBL4165832,CC1=CC=C(C=C1)OC2=NC3=C(C=C2)N=C(N3C)COC4=CC=CC(=C4)C(=O)O,389.137556,6,4.34622,0,6,1,86.47,
CHEMBL426371,CCC(CC1=CC(=C(C=C1)OCC2=CC=CC=C2)CNC(=O)C3=CC=C(C=C3)C(F)(F)F)C(=O)O,485.181393,10,5.8677,0,3,2,75.63,
CHEMBL1946954,COc1ccc2c(-n3c(=O)n(Cc4cccc(O[C@H](C)C(=O)O)c4)c4cc(C(F)(F)F)ccc43)noc2c1,527.13042,7,4.861,0,8,1,108.72,
CID_56926098,CC(C(=O)O)OC1=CC=CC(=C1)CN2C3=C(C=CC(=C3)C(F)(F)F)N(C2=O)C4=NOC5=C4C=CC(=C5)OC,527.13042,7,4.861,0,8,1,108.72,
CHEMBL519854,CCCCCCC[C@H]1C(=O)C=C(I)[C@H]1OCCCCCC(=O)O,436.111057,13,4.8949,0,3,1,63.6,
CHEMBL3759448,CC(C)N1C2=CC=CC=C2N=C1COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4,395.130363,6,4.0903,0,6,1,73.22,
CHEMBL4162863,CC1=C(N=CC=C1)OC2=CC3=C(C=C2)N=C(N3C)COC4=CC=CC(=C4)C(=O)O,389.137556,6,4.34622,0,6,1,86.47,
CHEMBL219005,CC1=C(N=C(O1)C2=CC=CC=C2)CCOC3=NC=C(C=C3)CC4(CC4)C(=O)O,378.157957,8,4.07382,0,5,1,85.45,
CHEMBL219773,CC1=C(N=C(O1)C2=CC=CC=C2)CCOC3=CC(=C(C=C3)CCC(=O)O)CNS(=O)(=O)CC4=CC=CC=C4,534.182458,13,4.90832,0,6,2,118.73,
CHEMBL5440386,CC#C[C@@H](CC(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1,332.102414,4,4.954,0,1,1,37.3,
CID_170551874,CC#CC(CC(=O)O)C1=CC=C(C=C1)C2=CC=C(C=C2)C(F)(F)F,332.102414,4,4.954,0,1,1,37.3,
CHEMBL1760412,CCCCN(C1=CC=CC(=C1OC)C2=CC=C(C=C2)Cl)S(=O)(=O)C3=C(C(=C(C=C3)OC(C)C(=O)O)C)C,545.163886,11,6.47974,0,5,1,93.14,
CHEMBL4546437,CCCCC1=NC(=C(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NOC(=O)N4)CC(=O)OCC)C(C)C,530.25292,11,4.8735,0,8,1,120.08,
CHEMBL220508,N#Cc1ccc(OCCCOc2ccc3c(c2)CC[C@H]3CC(=O)O)cc1,351.147058,8,3.91068,0,4,1,79.55,
CID_16110513,C1CC2=C(C1CC(=O)O)C=CC(=C2)OCCCOC3=CC=C(C=C3)C#N,351.147058,8,3.91068,0,4,1,79.55,
CHEMBL96758,CCCC1=C(C=CC(=C1)OC2=CC=C(C=C2)C3=CC=CC=C3)OCCCOC4=CC=CC(=C4)C5C(=O)NC(=O)S5,553.192294,12,7.9704,0,6,1,73.86,
CHEMBL2159605,O=C(CCCCc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(O)c1)CCc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(O)c1,654.252371,14,-1.6301,0,15,10,256.29,
CID_71453290,C1=CC(=C(C=C1CCCCC(=O)CCC2=CC(=C(C=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)OC4C(C(C(C(O4)CO)O)O)O,654.252371,14,-1.6301,0,15,10,256.29,
CHEMBL388540,C1=CC(=CC=C1CC(=O)O)OCC=C(C2=CC=C(C=C2)Br)C3=CC=C(C=C3)Br,499.962269,7,6.3494,0,2,1,46.53,
CID_168284598,CCCCCCC=CCCCCCCCC1=CC(=CC=C1)OC(C)(C)C(=O)OCC,416.329045,17,7.8168,0,3,0,35.53,
CHEMBL5073521,CC1=CC(=CC(=C1OC(C)(C)C(=O)O)C)CN2C(=O)N(C=N2)C3=CC=CC=C3C(F)(F)F,449.156241,6,3.95994,0,6,1,86.35,
CHEMBL4458366,C1=CC(=CC(=C1)F)COC2=CC=C(C=C2)CNC3=CC=CC(=C3)C(=O)O,351.127072,7,4.715,0,3,2,58.56,
CHEMBL1084548,CC(C)(C(=O)O)OC1=CC=C(C=C1)CN(CC2=CC=CO2)CC(=O)NC3=CC=CC=N3,423.179421,10,3.5575,0,6,2,104.9,
CHEMBL1079668,CC1=C(C=CC(=C1)OCC2=NC(=C(S2)C3=CC(=C(C=C3)OC)Cl)C4=CC=C(C=C4)OC)OCC(=O)O,525.101286,10,6.49852,0,7,1,87.11,
CHEMBL241478,Cc1cc(OCC[C@@H](C)Oc2ccc(C(F)(F)F)cc2-c2ccccn2)ccc1CCC(=O)O,473.181393,10,6.32942,0,4,1,68.65,
CID_44439633,CC1=C(C=CC(=C1)OCCC(C)OC2=C(C=C(C=C2)C(F)(F)F)C3=CC=CC=N3)CCC(=O)O,473.181393,10,6.32942,0,4,1,68.65,
CHEMBL4746258,C=CC(c1ccc(O)c(OC)c1)c1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12,416.125988,5,4.9033,0,6,3,100.13,
