partition,method,NEF1,kind
ACHE-PETS,RF,0.9167,MLSF
ACHE-PETS,XGB,0.9167,MLSF
ACHE-PETS,SVM,0.5,MLSF
ACHE-PETS,ANN,0.5833,MLSF
ACHE-PETS,DNN,1.0,MLSF
HMGR-PETS,RF,1.0,MLSF
HMGR-PETS,XGB,1.0,MLSF
HMGR-PETS,SVM,1.0,MLSF
HMGR-PETS,ANN,1.0,MLSF
HMGR-PETS,DNN,1.0,MLSF
ACHE-OTS,RF,0.6364,MLSF
ACHE-OTS,XGB,0.6364,MLSF
ACHE-OTS,SVM,0.6061,MLSF
ACHE-OTS,ANN,0.6061,MLSF
ACHE-OTS,DNN,0.5758,MLSF
HMGR-OTS,RF,0.8148,MLSF
HMGR-OTS,XGB,0.8889,MLSF
HMGR-OTS,SVM,0.8889,MLSF
HMGR-OTS,ANN,0.8519,MLSF
HMGR-OTS,DNN,0.8519,MLSF
PPARA-OTS,RF,0.0,MLSF
PPARA-OTS,XGB,0.0,MLSF
PPARA-OTS,SVM,0.0,MLSF
PPARA-OTS,ANN,0.12,MLSF
PPARA-OTS,DNN,1.0,MLSF
ACHE-OTS,Smina,0.0909,generic
ACHE-OTS,IFP,0.0303,generic
ACHE-OTS,CNN-Score,0.0,generic
ACHE-OTS,RF-Score-VS,0.0,generic
HMGR-OTS,Smina,0.0,generic
HMGR-OTS,IFP,0.0,generic
HMGR-OTS,CNN-Score,0.0741,generic
HMGR-OTS,RF-Score-VS,0.1111,generic
PPARA-OTS,Smina,0.0,generic
PPARA-OTS,IFP,0.0,generic
PPARA-OTS,CNN-Score,0.12,generic
PPARA-OTS,RF-Score-VS,0.08,generic
ACHE-PETS,Smina,0.25,generic
ACHE-PETS,CNN-Score,0.0,generic
ACHE-PETS,RF-Score-VS,0.0,generic
ACHE-PETS,IFP,0.3333333333333333,generic
HMGR-PETS,Smina,0.0,generic
HMGR-PETS,CNN-Score,0.3333333333333333,generic
HMGR-PETS,RF-Score-VS,1.0,generic
HMGR-PETS,IFP,0.8333333333333334,generic
