partition,method,NEF1,kind,n_keep,tc,partition_label
ACHE-PETS,RF,0.9166666666666666,MLSF,1239,0.7,ACHE-PETS-D
ACHE-PETS,XGB,0.9166666666666666,MLSF,1239,0.7,ACHE-PETS-D
ACHE-PETS,SVM,0.5,MLSF,1239,0.7,ACHE-PETS-D
ACHE-PETS,ANN,0.5416666666666667,MLSF,1239,0.7,ACHE-PETS-D
ACHE-PETS,DNN,1.0,MLSF,1239,0.7,ACHE-PETS-D
ACHE-PETS,Smina,0.25,generic,1239,0.7,ACHE-PETS-D
ACHE-PETS,IFP,0.33333333333333337,generic,1239,0.7,ACHE-PETS-D
ACHE-PETS,CNN-Score,0.0,generic,1239,0.7,ACHE-PETS-D
ACHE-PETS,RF-Score-VS,0.0,generic,1239,0.7,ACHE-PETS-D
HMGR-PETS,RF,1.0,MLSF,1201,0.7,HMGR-PETS-D
HMGR-PETS,XGB,1.0,MLSF,1201,0.7,HMGR-PETS-D
HMGR-PETS,SVM,1.0,MLSF,1201,0.7,HMGR-PETS-D
HMGR-PETS,ANN,1.0,MLSF,1201,0.7,HMGR-PETS-D
HMGR-PETS,DNN,1.0,MLSF,1201,0.7,HMGR-PETS-D
HMGR-PETS,Smina,0.0,generic,1201,0.7,HMGR-PETS-D
HMGR-PETS,IFP,0.0,generic,1201,0.7,HMGR-PETS-D
HMGR-PETS,CNN-Score,0.0,generic,1201,0.7,HMGR-PETS-D
HMGR-PETS,RF-Score-VS,0.0,generic,1201,0.7,HMGR-PETS-D
ACHE-OTS,RF,0.16666666666666669,MLSF,2643,0.7,ACHE-OTS-D
ACHE-OTS,XGB,0.08333333333333334,MLSF,2643,0.7,ACHE-OTS-D
ACHE-OTS,SVM,0.33333333333333337,MLSF,2643,0.7,ACHE-OTS-D
ACHE-OTS,ANN,0.33333333333333337,MLSF,2643,0.7,ACHE-OTS-D
ACHE-OTS,DNN,0.20833333333333334,MLSF,2643,0.7,ACHE-OTS-D
ACHE-OTS,Smina,0.08333333333333334,generic,2643,0.7,ACHE-OTS-D
ACHE-OTS,IFP,0.08333333333333334,generic,2643,0.7,ACHE-OTS-D
ACHE-OTS,CNN-Score,0.0,generic,2643,0.7,ACHE-OTS-D
ACHE-OTS,RF-Score-VS,0.0,generic,2643,0.7,ACHE-OTS-D
HMGR-OTS,RF,0.8461538461538461,MLSF,1963,0.7,HMGR-OTS-D
HMGR-OTS,XGB,0.6923076923076923,MLSF,1963,0.7,HMGR-OTS-D
HMGR-OTS,SVM,0.8461538461538461,MLSF,1963,0.7,HMGR-OTS-D
HMGR-OTS,ANN,0.6923076923076923,MLSF,1963,0.7,HMGR-OTS-D
HMGR-OTS,DNN,0.5769230769230769,MLSF,1963,0.7,HMGR-OTS-D
HMGR-OTS,Smina,0.0,generic,1963,0.7,HMGR-OTS-D
HMGR-OTS,IFP,0.0,generic,1963,0.7,HMGR-OTS-D
HMGR-OTS,CNN-Score,0.07692307692307693,generic,1963,0.7,HMGR-OTS-D
HMGR-OTS,RF-Score-VS,0.07692307692307693,generic,1963,0.7,HMGR-OTS-D
PPARA-OTS,RF,0.0,MLSF,1568,0.7,PPARA-OTS-D
PPARA-OTS,XGB,0.13333333333333333,MLSF,1568,0.7,PPARA-OTS-D
PPARA-OTS,SVM,0.06666666666666667,MLSF,1568,0.7,PPARA-OTS-D
PPARA-OTS,ANN,0.06666666666666667,MLSF,1568,0.7,PPARA-OTS-D
PPARA-OTS,DNN,1.0,MLSF,1568,0.7,PPARA-OTS-D
PPARA-OTS,Smina,0.0,generic,1568,0.7,PPARA-OTS-D
PPARA-OTS,IFP,0.0,generic,1568,0.7,PPARA-OTS-D
PPARA-OTS,CNN-Score,0.26666666666666666,generic,1568,0.7,PPARA-OTS-D
PPARA-OTS,RF-Score-VS,0.06666666666666667,generic,1568,0.7,PPARA-OTS-D
